"","well_name","a_mean","a_sd","acer_mean","acer_sd","aacer_ratio","sd_warning","ct_warning","rep"
"128","9",24.995,0.00707106781186658,25.32,0.0919238815542505,0.139184937624903,NA,NA,NA
"129","91",23.045,0.134350288425445,25.405,0.0565685424949251,0.570411510027957,NA,NA,NA
"130","92",34.05,0.0848528137423839,24.195,0,0.000119979454570342,NA,NA,NA
"131","93",32.455,0.0777817459305198,25.53,0.00707106781186658,0.000914375899266352,NA,NA,NA
"132","94",32.96,0.0989949493661171,24.5,0.0212132034355972,0.000315532230321248,NA,NA,NA
"133","96",32.915,0.0494974746830585,24.495,0.0282842712474613,0.0003244030487489,NA,NA,NA
"134","97",33.21,0.466690475583119,24.345,0.212132034355965,0.00023830139188087,NA,NA,NA
"135","97-JD",24.485,0.0494974746830585,26.135,0.0282842712474638,0.348704043509667,NA,NA,NA
"136","98",35.78,0.0282842712474613,23.99,0.0494974746830585,0.000031377175127639,NA,NA,NA
"137","99",40.2,1.13137084989848,24.75,0.091923881554253,0.00000248224164487309,"a*","a*",NA
